partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
100^_0805,0^ 2.5A 0805,resistor,0^,0805,,100,,100^_0805,RESC2012X65,,
2.7K_0603,2.7K 5% 0.25W AXIAL LF,resistor,2.7K,AXIAL,,250,,2.7K_0603,RESC1608X60,,
4.7K_0603,RES 4.7K 1W 5% 2512,resistor,4.7K,2512,,2500,,4.7K_0603,RESC1608X60,,
5.1K_0603,5.1K 1% 1/10W 0603,resistor,5.1K,0603,,250,,5.1K_0603,RESC1608X60,,
GP_1000V_1A_SOD-123F,1kV 1A  SOD123F,diode,,SOD-123F,,250,,GP_1000V_1A_SOD-123F,SOD-123F,,
RGSM0003,LM317D2TR4G ADJUSTABLE,ic-regulator,,D2PAK,,100,,RGSM0003,D2PAK,,
10UF_1206_10%_25V,10UF 16V ALE,capacitor,10UF,CAPC3216X135,,250,,10UF_1206_10%_25V,CAPC3216X135,,
20K_AXIAL,RES 20K 5% 0.25W,resistor,20K,SFR16S,,500,,20K_AXIAL,SFR16S,,
100NF_0805,SMCP 100NF 50V 20% 0,capacitor,100NF,CAPC2012X110,,1000,,100NF_0805,CAPC2012X110,,
L,"IC LM258P OP-AMP, DU",ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
100^_0603,100^  0.5%  25PPM  1/4W,resistor,100^,RESC1608X60,,100,,100^_0603,RESC1608X60,,
10K_0603,"RES 10K, 5W, WIREWOUND POT",resistor,10K,RESC1608X60,,100,,10K_0603,RESC1608X60,,
15K_0805_0.1%,RES 15K 1/8W 1% 0805,resistor,15K,0805,,250,,15K_0805_0.1%,RESC2012X65,,
27K_AXIAL,27K 5% 1/4W AXIAL LF,resistor,27K,AXIAL,,100,,27K_AXIAL,SFR16S,,
150PF_0805,150pF 2kV 10% X7R 1808,capacitor,150PF,CAPC2012X110,,250,,150PF_0805,CAPC2012X110,,
2N7002,TSM 2N7002 FET N 60V SOT23,transistor,,SOT23-FET,,100,,2N7002,SOT23-FET,,
SN74HCT08DRE4,IC SN74HCT374N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,
1.62K_0805_0.1%,1.62K 1% 1/8W 0805,resistor,1.62K,0805,,100,,1.62K_0805_0.1%,RESC2012X65,,
PIC18F26K22-I/SS,PIC18F26K22-I/SS,ic,,FLASH_28-SSOP,,100,,PIC18F26K22-I/SS,FLASH_28-SSOP,,
SN74HCT08DRE4,SN74HCT08DR 4C-AND Gate SOIC14,ic,,IC_14-SOIC,,250,,SN74HCT08DRE4,IC_14-SOIC,,
750^_0805,750^ 1% 1/10W 0603,resistor,750^,0603,,250,,750^_0805,RESC2012X65,,
FOD817ASD,FOD817ASD OPTOISOLATOR,ic,,IC_4-SMD,,250,,FOD817ASD,IC_4-SMD,,
2.7K_0603,2.7K 1/10W 1% 0603,resistor,2.7K,0603,,250,,2.7K_0603,RESC1608X60,,
1UF_50V_AXIAL,1uF 50V 20% cap axial ceramic,capacitor,1UF,AXIAL,,100,,1UF_50V_AXIAL,C410,,
100UF_1206_6.3V,100uF 6.3V 20% 1206,capacitor,100UF,1206,,100,,100UF_1206_6.3V,WCAP-CSMH_1206_H1.6_R,,
10^_0603,10^ 1% 1/8W 0603,resistor,10^,0603,,250,,10^_0603,RESC1608X60,,
VREG_SOT23-5,MOSFET PCH 20V 1.8A SOT23,transistor,,SOT23-5,,250,,VREG_SOT23-5,SOT23-5,,
8.2K_0603,8.2K  5%  0.25W,resistor,8.2K,RESC1608X60,,250,,8.2K_0603,RESC1608X60,,
F0044,PolySwitch 0.75A 250V LVR075S,fuse,,V0020,,100,,F0044,V0020,,
8.2K_0805,RES 8.2k 1% 1/8W 0805,resistor,8.2K,0805,,250,,8.2K_0805,RESC2012X65,,
LED_RED_0805,RED CLEAR 0603 1.75V,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,
100K_AXIAL,100K 5% 0.25W AXIAL LF,resistor,100K,AXIAL,,250,,100K_AXIAL,SFR16S,,
220UF_16V,220 uF  35V  Electrolytic Cap.,capacitor,220UF,CAPAE660X800N,,100,,220UF_16V,CAPAE660X800N,,
33^_5W_FUSIBLE,"33,5W,5%, AC05000003309JAC00",resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,
1K_0805_1%_0.25W,1k 1/4W 1% 0805,resistor,1K,0805,,250,,1K_0805_1%_0.25W,RESC2012X65,,
33^_5W_FUSIBLE,33^ 5% 1/16W 4 resistor SIP,resistor,33^,AXIAL_0.8,,250,,33^_5W_FUSIBLE,AXIAL_0.8,,
3.6^_2512,3.6 Ohm 1 Watt 5% metal film,resistor,3.6^,RESC6332X71,,250,,3.6^_2512,RESC6332X71,,
1M_0603_1%,1M 5% 0.25W,resistor,1M,RESC1608X60,,100,,1M_0603_1%,RESC1608X60,,
10^_0603,10^ 1/8W 5% 0805,resistor,10^,0805,,100,,10^_0603,RESC1608X60,,
120^_AXIAL,120^ 5% 0.25W LF,resistor,120^,SFR16S,,250,,120^_AXIAL,SFR16S,,
12PF_0603,"12pF 5% 50V 0603 C0G, NP0",capacitor,12PF,0603,,100,,12PF_0603,CAPC1608X85,,
27.4^_0805,RES 27.4^ 1/8W 1% 0805,resistor,27.4^,0805,,100,,27.4^_0805,RESC2012X65,,
680UF_35V_ALE,680uF 35V ALE 20% SMD Radial,capacitor,680UF,CAPAE1030X1050N,,100,,680UF_35V_ALE,CAPAE1030X1050N,,
SN74HCT08DRE4,TI SN74HCT138N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,
TNY286DG,SWITCHING PS TNY286DG-TL 8-SO,ic,,TNY268DG,,250,,TNY286DG,TNY268DG,,
33^_5W_FUSIBLE,33^ 5W 5% Fusible Safety,resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,
1UF_0805_20%,CAP Ceramic 1uF 50V 0805,capacitor,1UF,0805,,100,,1UF_0805_20%,CAPC2012X110,,
10UF_1206_10%_25V,10 uF 160V 20% RADIAL ALUM,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,
