partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
10^_0603,RSM0253,10^ 1% 1/8W 0603,resistor,10^,0603,,250,,10^_0603,RESC1608X60,,,3280,10,high,38
VREG_SOT23-5,TSM0009,MOSFET PCH 20V 1.8A SOT23,transistor,,SOT23-5,,250,,VREG_SOT23-5,SOT23-5,,,3174,17,medium,2
8.2K_0603,R0131,8.2K  5%  0.25W,resistor,8.2K,RESC1608X60,,250,,8.2K_0603,RESC1608X60,,,3080,16,low,5
F0044,F0044,PolySwitch 0.75A 250V LVR075S,fuse,,V0020,,100,,F0044,V0020,,,3067,39,high,1
8.2K_0805,RSM0110,RES 8.2k 1% 1/8W 0805,resistor,8.2K,0805,,250,,8.2K_0805,RESC2012X65,,,3062,16,high,4
LED_RED_0805,LSM0043,RED CLEAR 0603 1.75V,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,,3058,26,medium,62
100K_AXIAL,R0109,100K 5% 0.25W AXIAL LF,resistor,100K,AXIAL,,250,,100K_AXIAL,SFR16S,,,3000,15,high,7
220UF_16V,C0127,220 uF  35V  Electrolytic Cap.,capacitor,220UF,CAPAE660X800N,,100,,220UF_16V,CAPAE660X800N,,,2608,18,low,16
33^_5W_FUSIBLE,R0334,"33,5W,5%, AC05000003309JAC00",resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,,2608,20,low,3
1K_0805_1%_0.25W,RSM0123,1k 1/4W 1% 0805,resistor,1K,0805,,250,,1K_0805_1%_0.25W,RESC2012X65,,,2514,12,medium,8
33^_5W_FUSIBLE,RSM0373,33^ 5% 1/16W 4 resistor SIP,resistor,33^,AXIAL_0.8,,250,,33^_5W_FUSIBLE,AXIAL_0.8,,,2499,7,low,3
3.6^_2512,R0331,3.6 Ohm 1 Watt 5% metal film,resistor,3.6^,RESC6332X71,,250,,3.6^_2512,RESC6332X71,,,2268,11,low,8
1M_0603_1%,R0048,1M 5% 0.25W,resistor,1M,RESC1608X60,,100,,1M_0603_1%,RESC1608X60,,,2214,22,low,26
10^_0603,RSM0042,10^ 1/8W 5% 0805,resistor,10^,0805,,100,,10^_0603,RESC1608X60,,,2089,19,low,38
120^_AXIAL,R0137,120^ 5% 0.25W LF,resistor,120^,SFR16S,,250,,120^_AXIAL,SFR16S,,,2043,9,low,39
12PF_0603,CSM0161,"12pF 5% 50V 0603 C0G, NP0",capacitor,12PF,0603,,100,,12PF_0603,CAPC1608X85,,,2036,15,high,73
27.4^_0805,RSM0070,RES 27.4^ 1/8W 1% 0805,resistor,27.4^,0805,,100,,27.4^_0805,RESC2012X65,,,2036,15,high,8
680UF_35V_ALE,CSM0153,680uF 35V ALE 20% SMD Radial,capacitor,680UF,CAPAE1030X1050N,,100,,680UF_35V_ALE,CAPAE1030X1050N,,,2000,13,low,2
SN74HCT08DRE4,IC0013,TI SN74HCT138N,ic,,IC_14-SOIC,,100,,SN74HCT08DRE4,IC_14-SOIC,,,2000,21,medium,4
TNY286DG,ICSM0221,SWITCHING PS TNY286DG-TL 8-SO,ic,,TNY268DG,,250,,TNY286DG,TNY268DG,,,2000,11,medium,2
