partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
L,TSM0016,IRLML6402TRPBF,transistor,,INDC1608X95N-IPC,,500,,L,INDC1608X95N-IPC,,,5832,14,medium,2
220^_0805,R0122,220^ 5% 0.25W AXIAL LF,resistor,220^,AXIAL,,100,,220^_0805,RESC2012X65,,,5780,54,low,72
27K_0805_0.125W,RSM0060,RES 27k 1/8W 5% 0805,resistor,27K,0805,,250,,27K_0805_0.125W,RESC2012X65,,,5681,30,high,11
ULN2803A,IC0006,ULN2803A OR E-ULN2803A,ic,,DIL18,,100,,ULN2803A,DIL18,,,5573,67,medium,3
FT232RL-REEL,ICSM0113,FT232RL USB-UART Converter IC,ic,,SOP65P780X200-28N,,100,,FT232RL-REEL,SOP65P780X200-28N,,,5452,43,medium,4
4.02K_0603,R0216,4.02K 1.O% 1/4W 50PPM AXLF,resistor,4.02K,RESC1608X60,,100,,4.02K_0603,RESC1608X60,,,5403,39,low,7
MOC3052SM,IC0089,MOC3052,ic,,6-SMD,,500,,MOC3052SM,6-SMD,,,5208,7,medium,28
0.22UF_0603,C0128,0.22UF 630V Film Radial LF,capacitor,0.22UF,CAPC1608X85,,250,,0.22UF_0603,CAPC1608X85,,,5192,26,low,2
PIC24FJ64GA306,ICSM0165,PIC24FJ128GA306-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,5064,36,medium,2
100^_0805,RSM0050,0^ 2.5A 0805,resistor,0^,0805,,100,,100^_0805,RESC2012X65,,,5051,31,medium,2
2.7K_0603,R0049,2.7K 5% 0.25W AXIAL LF,resistor,2.7K,AXIAL,,250,,2.7K_0603,RESC1608X60,,,5048,25,low,31
4.7K_0603,RSM0162,RES 4.7K 1W 5% 2512,resistor,4.7K,2512,,2500,,4.7K_0603,RESC1608X60,,,4950,2,low,28
5.1K_0603,RSM0252,5.1K 1% 1/10W 0603,resistor,5.1K,0603,,250,,5.1K_0603,RESC1608X60,,,4910,20,high,19
GP_1000V_1A_SOD-123F,DSM0034,1kV 1A  SOD123F,diode,,SOD-123F,,250,,GP_1000V_1A_SOD-123F,SOD-123F,,,4796,13,medium,13
RGSM0003,RGSM0003,LM317D2TR4G ADJUSTABLE,ic-regulator,,D2PAK,,100,,RGSM0003,D2PAK,,,4744,29,high,1
10UF_1206_10%_25V,CSM0076,10UF 16V ALE,capacitor,10UF,CAPC3216X135,,250,,10UF_1206_10%_25V,CAPC3216X135,,,4655,14,low,10
20K_AXIAL,R0043,RES 20K 5% 0.25W,resistor,20K,SFR16S,,500,,20K_AXIAL,SFR16S,,,4588,7,low,7
100NF_0805,CSM0053,SMCP 100NF 50V 20% 0,capacitor,100NF,CAPC2012X110,,1000,,100NF_0805,CAPC2012X110,,,4500,3,low,12
L,IC0086,"IC LM258P OP-AMP, DU",ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,4060,27,medium,2
100^_0603,R0214,100^  0.5%  25PPM  1/4W,resistor,100^,RESC1608X60,,100,,100^_0603,RESC1608X60,,,4060,27,low,140
